feature,rmse_increase_mean,rmse_increase_std,r2_drop_mean,r2_drop_std,score,snr,rank
CurrentDensity,0.24427477,0.014572588,0.7734282948076725,0.06713453686759105,0.9999999999987041,11.520572433851429,1
c_1,0.05556866,0.0062653986,0.10941173136234283,0.014431727907641426,0.13950843508238153,7.581332745112892,2
Grain_1,0.042977266,0.005691972,0.0812024362385273,0.01228262203445557,0.10295232813780385,6.611164619746882,3
AB_Nd,0.03117795,0.0037222307,0.056515276432037354,0.007475070830273081,0.07096051657062918,7.560500456476909,4
AB_Nv,0.017289938,0.0040648035,0.029874756932258606,0.007437886374565638,0.03643736823889963,4.016565382122644,5
AB_AW,0.017064812,0.0027015323,0.029404297471046448,0.004971861682246653,0.035827705136660656,5.914142296059466,6
AB_EA,0.016780484,0.0026632654,0.02888360247015953,0.004833003036799599,0.03515294236593622,5.976326156689081,7
AB_EC,0.01144885,0.0024049648,0.01932549476623535,0.004236411887466456,0.022766698545279424,4.561760110920425,8
AB_FIE,0.011444569,0.002337333,0.0193159319460392,0.0041162140962817725,0.022754306194593312,4.692645107744729,9
AB_AN,0.010105368,0.0017138054,0.016957901418209076,0.0029879640637907583,0.01969856106606074,5.675403401947073,10
AB_AR,0.008269248,0.0027212831,0.01381215825676918,0.004636501406050092,0.015622028032355625,2.979004435492443,11
AB_TC,0.008140054,0.0020837004,0.013570990413427353,0.003596584396479551,0.015309501348009158,3.7732995847220385,12
b_1,0.007913113,0.0024923584,0.013193890452384949,0.004249211110179029,0.01482082176760291,3.1050211691468625,13
a_1,0.0075845923,0.001640122,0.012609638273715973,0.002794014566416267,0.014063695968029342,4.513089667022242,14
AB_D,0.00575608,0.0014543815,0.009503420442342758,0.0024551168856030547,0.010038383363143713,3.870862725192635,15
AB_SIE,0.00513744,0.0012328519,0.00845954567193985,0.002071110531432274,0.008685637838092333,4.0845457253337,16
Grain_2,0.0042000934,0.0019116697,0.00690639391541481,0.0031753382170870733,0.0066729260186908545,2.175010484261247,17
C_EA,0.003987953,0.001971918,0.006554853171110153,0.003285028544455717,0.006217368338579659,1.995371754129104,18
C_D,0.003966935,0.0015381754,0.00651024654507637,0.002566108530371648,0.0061595631157064686,2.5370113794822555,19
C_SIE,0.0032687262,0.0019772013,0.005362354218959808,0.003285238715803091,0.00467202241501911,1.6322570994712937,20
C_EN,0.0026753368,0.001416292,0.004371259361505508,0.002342723902736422,0.003387673783041669,1.8658875484788304,21
C_Np,0.0025853962,0.0011524459,0.004218969494104385,0.0018927867847530126,0.0031903230638955183,2.2289723944928856,22
C_Nv,0.002562534,0.0015285127,0.004187755286693573,0.0025143291751759406,0.0031498729250568295,1.6655556982649173,23
AB_CR,0.0025572293,0.0018212432,0.00418524444103241,0.0029927751562440746,0.003146619148522962,1.3984493392034274,24
c_2,0.0025289152,0.0014735019,0.004131413996219635,0.0024160156466132695,0.0030768608830713503,1.7100112742651195,25
C_AW,0.0024663685,0.0009037484,0.0040200091898441315,0.0014901610436177549,0.0029324926527370633,2.697701167510599,26
C_FIE,0.0023427121,0.0011772674,0.003820497542619705,0.0019330367217488525,0.0026739477624584122,1.9764226399107467,27
C_AR,0.0022341423,0.0009462606,0.0036391913890838623,0.0015509307976178206,0.002438995165831112,2.3464563295326175,28
C_VR,0.0019579679,0.0008800328,0.0031858347356319427,0.001439644356475827,0.0018514953990030998,2.212931769633554,29
C_AN,0.0016680611,0.00074927806,0.002710435539484024,0.0012229826211089102,0.0012354309500520989,2.2162502479472286,30
C_CR,0.0015157042,0.0010591389,0.0024652741849422455,0.0017258012226388077,0.0009177291196458318,1.4284809578152216,31
b_2,0.0014443872,0.0013597256,0.0023535750806331635,0.002220623859302648,0.0007729795119433319,1.0598711122163642,32
a_2,0.0013008947,0.001431588,0.002121005207300186,0.0023299256911070453,0.00047159483982263216,0.9103316961933133,33
AB_EN,0.0010800632,0.001152913,0.0017570890486240387,0.0018713989298382806,0.0,0.9389174160941528,34
