feature,rmse_increase_mean,rmse_increase_std,r2_drop_mean,r2_drop_std,score,snr,rank
CurrentDensity,0.10905748258236306,0.010746282257691293,0.2855469807982445,0.034517759106244834,0.9999999999965458,8.2724657736635,1
Grain_1,0.04549047805819788,0.008333475524040738,0.10303768888115883,0.021216860271291865,0.3695559709463409,4.856406063800156,2
AB_EA,0.03227429631254081,0.006024690428087947,0.07064177468419075,0.014165310270309366,0.2576503772279681,4.986955691840345,3
c_1,0.0076220253593447754,0.003718343494547422,0.015660427510738373,0.00772470773592239,0.06772765235987355,2.0273165075081097,4
AB_Nd,0.0041871196218209086,0.004629980589311391,0.008599940687417984,0.009439963707813257,0.04333852831476905,0.9110141683478065,5
a_1,0.003662502061575146,0.0010308475118590158,0.0074126385152339935,0.002109382236561128,0.039237216226660175,3.514127683090999,6
b_1,0.003505683359204868,0.004233185962526573,0.0071867965161800385,0.00850266130351104,0.038457087509285,0.8452408321106619,7
C_D,0.0031259592037469353,0.0023074951892171867,0.006342053413391113,0.004708855864094066,0.035539081310035886,1.3468353237149724,8
AB_FIE,0.0026542091082824033,0.0021515374741856025,0.005378548055887222,0.004384305647091855,0.032210833234468474,1.2267730600005233,9
AB_SIE,0.002351538269232756,0.002580083017473108,0.0047755166888237,0.005240652000818875,0.030127774773708597,0.911244762515477,10
a_2,0.0018677291855242993,0.0009411387119565839,0.003763291984796524,0.0019013626754967466,0.02663123487698401,1.9792604700384542,11
b_2,0.0015766967064876018,0.0013427760224873429,0.003180231899023056,0.002715350405430213,0.024617163451950055,1.1712049728432687,12
AB_Nv,0.001485729062398921,0.003114369128754458,0.0030407793819904327,0.006293875890030354,0.024135450955146437,0.4831330383117285,13
AB_AR,0.0012053452953442838,0.0028043024919933573,0.0024650171399116516,0.0056418913173864466,0.022146588558836056,0.4369132620258687,14
AB_AW,0.0008508667127297836,0.001696603818977997,0.00172341987490654,0.0034204087682871837,0.01958488026019865,0.5038637166357465,15
AB_D,0.0008294855357004159,0.0015277110025297678,0.0016773715615272522,0.0030726056596159456,0.01942581502076419,0.5459117592040758,16
C_AN,0.0005956407792239316,0.0006289345819544121,0.001196540892124176,0.0012630625344893687,0.017764875890897324,0.9473330563641339,17
Grain_2,0.000434505050945588,0.0011255823405605042,0.0008779242634773254,0.00225872993858084,0.016664274661356806,0.3886804916750007,18
C_CR,0.0003590908357362834,0.00072082883090121,0.0007224380970001221,0.0014466904009314998,0.016127176937587258,0.49937297989644724,19
AB_CR,0.0003194093951182867,0.0010025287609081472,0.0006455779075622559,0.0020104943484465917,0.015861677866313758,0.32110406464955127,20
AB_EC,0.0002549285600989652,0.0025340239787591595,0.0005466155707836151,0.005075882185880082,0.015519831083239866,0.1076887820990966,21
C_FIE,0.00020174278120128897,0.0009130759496811604,0.0004087202250957489,0.0018312660226180826,0.015043497542029131,0.22318997885857628,22
C_AR,0.0001362483951686394,0.00046349425162896924,0.00027403607964515686,0.0009265269666676087,0.014578256488189362,0.29576697625434606,23
C_EA,4.71453156430917e-05,0.0006883698226730364,9.701400995254517e-05,0.0013783869902676425,0.013966767036471376,0.0703822733144961,24
C_AW,2.3229080914548977e-05,0.0007641832456198327,4.9758702516555786e-05,0.0015315093120234627,0.013803532463036694,0.03248997710521495,25
AB_AN,-0.0001877372834442094,0.0015054599766177595,-0.00036294758319854736,0.003017831879175241,0.012377916206200969,-0.12026766155624001,26
C_SIE,-0.00023620488224793817,0.0014890598335318345,-0.0004601292312145233,0.0029713874484380886,0.012042220477608888,-0.15485332661734746,27
C_EN,-0.0003238601262891081,0.0011294952852077753,-0.0006405934691429138,0.002254829436833677,0.011418840703001377,-0.2840984148931294,28
C_VR,-0.0004313563808785448,0.0007600811003988494,-0.000859234482049942,0.0015155307904001828,0.01066358643816457,-0.5669528372010868,29
C_Np,-0.0004836824876733297,0.0009406474181757739,-0.0009620040655136108,0.0018762071158710358,0.010308588237349233,-0.5127387359653299,30
AB_TC,-0.0005118164771417723,0.0019217700683005882,-0.001002434641122818,0.0038439258360814152,0.010168928416656555,-0.26078407430564227,31
C_Nv,-0.0005372981512124664,0.0005314472890210719,-0.001072380691766739,0.0010607271099467796,0.009927312937680633,-1.0109864080022972,32
AB_EN,-0.0010224361866327993,0.0012191642608862048,-0.0020325593650341034,0.0024268836327519332,0.006610556267243468,-0.8375182628314942,33
c_2,-0.001991879346840378,0.0018363280954255016,-0.003946270793676376,0.0036300620643020124,0.0,-1.087108353159261,34
